Personel Notebook - A2 ZAMAN & SAATLER (1441 Kelime)
====================================================

No   | Saat  | English                              | Türkçe
1084 | 18:02 | two minutes past six p.m.            | akşam altıyı iki geçiyor
1085 | 18:03 | three minutes past six p.m.          | akşam altıyı üç geçiyor
1086 | 18:04 | four minutes past six p.m.           | akşam altıyı dört geçiyor
1087 | 18:05 | five past six p.m.                   | akşam altıyı beş geçiyor
1088 | 18:06 | six minutes past six p.m.            | akşam altıyı altı geçiyor
1089 | 18:07 | seven minutes past six p.m.          | akşam altıyı yedi geçiyor
1090 | 18:08 | eight minutes past six p.m.          | akşam altıyı sekiz geçiyor
1091 | 18:09 | nine minutes past six p.m.           | akşam altıyı dokuz geçiyor
1092 | 18:10 | ten past six p.m.                    | akşam altıyı on geçiyor
1093 | 18:11 | eleven minutes past six p.m.         | akşam altıyı on bir geçiyor
1094 | 18:12 | twelve minutes past six p.m.         | akşam altıyı on iki geçiyor
1095 | 18:13 | thirteen minutes past six p.m.       | akşam altıyı on üç geçiyor
1096 | 18:14 | fourteen minutes past six p.m.       | akşam altıyı on dört geçiyor
1097 | 18:15 | a quarter past six p.m.              | akşam altıyı çeyrek geçiyor
1098 | 18:16 | sixteen minutes past six p.m.        | akşam altıyı on altı geçiyor
1099 | 18:17 | seventeen minutes past six p.m.      | akşam altıyı on yedi geçiyor
1100 | 18:18 | eighteen minutes past six p.m.       | akşam altıyı on sekiz geçiyor
1101 | 18:19 | nineteen minutes past six p.m.       | akşam altıyı on dokuz geçiyor
1102 | 18:20 | twenty past six p.m.                 | akşam altıyı yirmi geçiyor
1103 | 18:21 | twenty-one minutes past six p.m.     | akşam altıyı yirmi bir geçiyor
1104 | 18:22 | twenty-two minutes past six p.m.     | akşam altıyı yirmi iki geçiyor
1105 | 18:23 | twenty-three minutes past six p.m.   | akşam altıyı yirmi üç geçiyor
1106 | 18:24 | twenty-four minutes past six p.m.    | akşam altıyı yirmi dört geçiyor
1107 | 18:25 | twenty-five past six p.m.            | akşam altıyı yirmi beş geçiyor
1108 | 18:26 | twenty-six minutes past six p.m.     | akşam altıyı yirmi altı geçiyor
1109 | 18:27 | twenty-seven minutes past six p.m.   | akşam altıyı yirmi yedi geçiyor
1110 | 18:28 | twenty-eight minutes past six p.m.   | akşam altıyı yirmi sekiz geçiyor
1111 | 18:29 | twenty-nine minutes past six p.m.    | akşam altıyı yirmi dokuz geçiyor
1112 | 18:30 | half past six p.m.                   | akşam altı buçuk
1113 | 18:31 | twenty-nine minutes to seven p.m.    | akşam yediye yirmi dokuz var
1114 | 18:32 | twenty-eight minutes to seven p.m.   | akşam yediye yirmi sekiz var
1115 | 18:33 | twenty-seven minutes to seven p.m.   | akşam yediye yirmi yedi var
1116 | 18:34 | twenty-six minutes to seven p.m.     | akşam yediye yirmi altı var
1117 | 18:35 | twenty-five to seven p.m.            | akşam yediye yirmi beş var
1118 | 18:36 | twenty-four minutes to seven p.m.    | akşam yediye yirmi dört var
1119 | 18:37 | twenty-three minutes to seven p.m.   | akşam yediye yirmi üç var
1120 | 18:38 | twenty-two minutes to seven p.m.     | akşam yediye yirmi iki var
1121 | 18:39 | twenty-one minutes to seven p.m.     | akşam yediye yirmi bir var
1122 | 18:40 | twenty to seven p.m.                 | akşam yediye yirmi var
1123 | 18:41 | nineteen minutes to seven p.m.       | akşam yediye on dokuz var
1124 | 18:42 | eighteen minutes to seven p.m.       | akşam yediye on sekiz var
1125 | 18:43 | seventeen minutes to seven p.m.      | akşam yediye on yedi var
1126 | 18:44 | sixteen minutes to seven p.m.        | akşam yediye on altı var
1127 | 18:45 | a quarter to seven p.m.              | akşam yediye çeyrek var
1128 | 18:46 | fourteen minutes to seven p.m.       | akşam yediye on dört var
1129 | 18:47 | thirteen minutes to seven p.m.       | akşam yediye on üç var
1130 | 18:48 | twelve minutes to seven p.m.         | akşam yediye on iki var
1131 | 18:49 | eleven minutes to seven p.m.         | akşam yediye on bir var
1132 | 18:50 | ten to seven p.m.                    | akşam yediye on var
1133 | 18:51 | nine minutes to seven p.m.           | akşam yediye dokuz var
1134 | 18:52 | eight minutes to seven p.m.          | akşam yediye sekiz var
1135 | 18:53 | seven minutes to seven p.m.          | akşam yediye yedi var
1136 | 18:54 | six minutes to seven p.m.            | akşam yediye altı var
1137 | 18:55 | five to seven p.m.                   | akşam yediye beş var
1138 | 18:56 | four minutes to seven p.m.           | akşam yediye dört var
1139 | 18:57 | three minutes to seven p.m.          | akşam yediye üç var
1140 | 18:58 | two minutes to seven p.m.            | akşam yediye iki var
1141 | 18:59 | one minute to seven p.m.             | akşam yediye bir var
1142 | 19:00 | seven o'clock p.m.                   | akşam yedi
1143 | 19:01 | one minute past seven p.m.           | akşam yediyi bir geçiyor
1144 | 19:02 | two minutes past seven p.m.          | akşam yediyi iki geçiyor
1145 | 19:03 | three minutes past seven p.m.        | akşam yediyi üç geçiyor
1146 | 19:04 | four minutes past seven p.m.         | akşam yediyi dört geçiyor
1147 | 19:05 | five past seven p.m.                 | akşam yediyi beş geçiyor
1148 | 19:06 | six minutes past seven p.m.          | akşam yediyi altı geçiyor
1149 | 19:07 | seven minutes past seven p.m.        | akşam yediyi yedi geçiyor
1150 | 19:08 | eight minutes past seven p.m.        | akşam yediyi sekiz geçiyor
1151 | 19:09 | nine minutes past seven p.m.         | akşam yediyi dokuz geçiyor
1152 | 19:10 | ten past seven p.m.                  | akşam yediyi on geçiyor
1153 | 19:11 | eleven minutes past seven p.m.       | akşam yediyi on bir geçiyor
1154 | 19:12 | twelve minutes past seven p.m.       | akşam yediyi on iki geçiyor
1155 | 19:13 | thirteen minutes past seven p.m.     | akşam yediyi on üç geçiyor
1156 | 19:14 | fourteen minutes past seven p.m.     | akşam yediyi on dört geçiyor
1157 | 19:15 | a quarter past seven p.m.            | akşam yediyi çeyrek geçiyor
1158 | 19:16 | sixteen minutes past seven p.m.      | akşam yediyi on altı geçiyor
1159 | 19:17 | seventeen minutes past seven p.m.    | akşam yediyi on yedi geçiyor
1160 | 19:18 | eighteen minutes past seven p.m.     | akşam yediyi on sekiz geçiyor
1161 | 19:19 | nineteen minutes past seven p.m.     | akşam yediyi on dokuz geçiyor
1162 | 19:20 | twenty past seven p.m.               | akşam yediyi yirmi geçiyor
1163 | 19:21 | twenty-one minutes past seven p.m.   | akşam yediyi yirmi bir geçiyor
1164 | 19:22 | twenty-two minutes past seven p.m.   | akşam yediyi yirmi iki geçiyor
1165 | 19:23 | twenty-three minutes past seven p.m. | akşam yediyi yirmi üç geçiyor
1166 | 19:24 | twenty-four minutes past seven p.m.  | akşam yediyi yirmi dört geçiyor
1167 | 19:25 | twenty-five past seven p.m.          | akşam yediyi yirmi beş geçiyor
1168 | 19:26 | twenty-six minutes past seven p.m.   | akşam yediyi yirmi altı geçiyor
1169 | 19:27 | twenty-seven minutes past seven p.m. | akşam yediyi yirmi yedi geçiyor
1170 | 19:28 | twenty-eight minutes past seven p.m. | akşam yediyi yirmi sekiz geçiyor
1171 | 19:29 | twenty-nine minutes past seven p.m.  | akşam yediyi yirmi dokuz geçiyor
1172 | 19:30 | half past seven p.m.                 | akşam yedi buçuk
1173 | 19:31 | twenty-nine minutes to eight p.m.    | akşam sekize yirmi dokuz var
1174 | 19:32 | twenty-eight minutes to eight p.m.   | akşam sekize yirmi sekiz var
1175 | 19:33 | twenty-seven minutes to eight p.m.   | akşam sekize yirmi yedi var
1176 | 19:34 | twenty-six minutes to eight p.m.     | akşam sekize yirmi altı var
1177 | 19:35 | twenty-five to eight p.m.            | akşam sekize yirmi beş var
1178 | 19:36 | twenty-four minutes to eight p.m.    | akşam sekize yirmi dört var
1179 | 19:37 | twenty-three minutes to eight p.m.   | akşam sekize yirmi üç var
1180 | 19:38 | twenty-two minutes to eight p.m.     | akşam sekize yirmi iki var
1181 | 19:39 | twenty-one minutes to eight p.m.     | akşam sekize yirmi bir var
1182 | 19:40 | twenty to eight p.m.                 | akşam sekize yirmi var
1183 | 19:41 | nineteen minutes to eight p.m.       | akşam sekize on dokuz var
1184 | 19:42 | eighteen minutes to eight p.m.       | akşam sekize on sekiz var
1185 | 19:43 | seventeen minutes to eight p.m.      | akşam sekize on yedi var
1186 | 19:44 | sixteen minutes to eight p.m.        | akşam sekize on altı var
1187 | 19:45 | a quarter to eight p.m.              | akşam sekize çeyrek var
1188 | 19:46 | fourteen minutes to eight p.m.       | akşam sekize on dört var
1189 | 19:47 | thirteen minutes to eight p.m.       | akşam sekize on üç var
1190 | 19:48 | twelve minutes to eight p.m.         | akşam sekize on iki var
1191 | 19:49 | eleven minutes to eight p.m.         | akşam sekize on bir var
1192 | 19:50 | ten to eight p.m.                    | akşam sekize on var
1193 | 19:51 | nine minutes to eight p.m.           | akşam sekize dokuz var
1194 | 19:52 | eight minutes to eight p.m.          | akşam sekize sekiz var
1195 | 19:53 | seven minutes to eight p.m.          | akşam sekize yedi var
1196 | 19:54 | six minutes to eight p.m.            | akşam sekize altı var
1197 | 19:55 | five to eight p.m.                   | akşam sekize beş var
1198 | 19:56 | four minutes to eight p.m.           | akşam sekize dört var
1199 | 19:57 | three minutes to eight p.m.          | akşam sekize üç var
1200 | 19:58 | two minutes to eight p.m.            | akşam sekize iki var
1201 | 19:59 | one minute to eight p.m.             | akşam sekize bir var
1202 | 20:00 | eight o'clock p.m.                   | akşam sekiz
1203 | 20:01 | one minute past eight p.m.           | akşam sekizi bir geçiyor
1204 | 20:02 | two minutes past eight p.m.          | akşam sekizi iki geçiyor
1205 | 20:03 | three minutes past eight p.m.        | akşam sekizi üç geçiyor
1206 | 20:04 | four minutes past eight p.m.         | akşam sekizi dört geçiyor
1207 | 20:05 | five past eight p.m.                 | akşam sekizi beş geçiyor
1208 | 20:06 | six minutes past eight p.m.          | akşam sekizi altı geçiyor
1209 | 20:07 | seven minutes past eight p.m.        | akşam sekizi yedi geçiyor
1210 | 20:08 | eight minutes past eight p.m.        | akşam sekizi sekiz geçiyor
1211 | 20:09 | nine minutes past eight p.m.         | akşam sekizi dokuz geçiyor
1212 | 20:10 | ten past eight p.m.                  | akşam sekizi on geçiyor
1213 | 20:11 | eleven minutes past eight p.m.       | akşam sekizi on bir geçiyor
1214 | 20:12 | twelve minutes past eight p.m.       | akşam sekizi on iki geçiyor
1215 | 20:13 | thirteen minutes past eight p.m.     | akşam sekizi on üç geçiyor
1216 | 20:14 | fourteen minutes past eight p.m.     | akşam sekizi on dört geçiyor
1217 | 20:15 | a quarter past eight p.m.            | akşam sekizi çeyrek geçiyor
1218 | 20:16 | sixteen minutes past eight p.m.      | akşam sekizi on altı geçiyor
1219 | 20:17 | seventeen minutes past eight p.m.    | akşam sekizi on yedi geçiyor
1220 | 20:18 | eighteen minutes past eight p.m.     | akşam sekizi on sekiz geçiyor
1221 | 20:19 | nineteen minutes past eight p.m.     | akşam sekizi on dokuz geçiyor
1222 | 20:20 | twenty past eight p.m.               | akşam sekizi yirmi geçiyor
1223 | 20:21 | twenty-one minutes past eight p.m.   | akşam sekizi yirmi bir geçiyor
1224 | 20:22 | twenty-two minutes past eight p.m.   | akşam sekizi yirmi iki geçiyor
1225 | 20:23 | twenty-three minutes past eight p.m. | akşam sekizi yirmi üç geçiyor
1226 | 20:24 | twenty-four minutes past eight p.m.  | akşam sekizi yirmi dört geçiyor
1227 | 20:25 | twenty-five past eight p.m.          | akşam sekizi yirmi beş geçiyor
1228 | 20:26 | twenty-six minutes past eight p.m.   | akşam sekizi yirmi altı geçiyor
1229 | 20:27 | twenty-seven minutes past eight p.m. | akşam sekizi yirmi yedi geçiyor
1230 | 20:28 | twenty-eight minutes past eight p.m. | akşam sekizi yirmi sekiz geçiyor
1231 | 20:29 | twenty-nine minutes past eight p.m.  | akşam sekizi yirmi dokuz geçiyor
1232 | 20:30 | half past eight p.m.                 | akşam sekiz buçuk
1233 | 20:31 | twenty-nine minutes to nine p.m.     | akşam dokuza yirmi dokuz var
1234 | 20:32 | twenty-eight minutes to nine p.m.    | akşam dokuza yirmi sekiz var
1235 | 20:33 | twenty-seven minutes to nine p.m.    | akşam dokuza yirmi yedi var
1236 | 20:34 | twenty-six minutes to nine p.m.      | akşam dokuza yirmi altı var
1237 | 20:35 | twenty-five to nine p.m.             | akşam dokuza yirmi beş var
1238 | 20:36 | twenty-four minutes to nine p.m.     | akşam dokuza yirmi dört var
1239 | 20:37 | twenty-three minutes to nine p.m.    | akşam dokuza yirmi üç var
1240 | 20:38 | twenty-two minutes to nine p.m.      | akşam dokuza yirmi iki var
1241 | 20:39 | twenty-one minutes to nine p.m.      | akşam dokuza yirmi bir var
1242 | 20:40 | twenty to nine p.m.                  | akşam dokuza yirmi var
1243 | 20:41 | nineteen minutes to nine p.m.        | akşam dokuza on dokuz var
1244 | 20:42 | eighteen minutes to nine p.m.        | akşam dokuza on sekiz var
1245 | 20:43 | seventeen minutes to nine p.m.       | akşam dokuza on yedi var
1246 | 20:44 | sixteen minutes to nine p.m.         | akşam dokuza on altı var
1247 | 20:45 | a quarter to nine p.m.               | akşam dokuza çeyrek var
1248 | 20:46 | fourteen minutes to nine p.m.        | akşam dokuza on dört var
1249 | 20:47 | thirteen minutes to nine p.m.        | akşam dokuza on üç var
1250 | 20:48 | twelve minutes to nine p.m.          | akşam dokuza on iki var
1251 | 20:49 | eleven minutes to nine p.m.          | akşam dokuza on bir var
1252 | 20:50 | ten to nine p.m.                     | akşam dokuza on var
1253 | 20:51 | nine minutes to nine p.m.            | akşam dokuza dokuz var
1254 | 20:52 | eight minutes to nine p.m.           | akşam dokuza sekiz var
1255 | 20:53 | seven minutes to nine p.m.           | akşam dokuza yedi var
1256 | 20:54 | six minutes to nine p.m.             | akşam dokuza altı var
1257 | 20:55 | five to nine p.m.                    | akşam dokuza beş var
1258 | 20:56 | four minutes to nine p.m.            | akşam dokuza dört var
1259 | 20:57 | three minutes to nine p.m.           | akşam dokuza üç var
1260 | 20:58 | two minutes to nine p.m.             | akşam dokuza iki var
1261 | 20:59 | one minute to nine p.m.              | akşam dokuza bir var
1262 | 21:00 | nine o'clock p.m.                    | gece dokuz
1263 | 21:01 | one minute past nine p.m.            | gece dokuzu bir geçiyor
1264 | 21:02 | two minutes past nine p.m.           | gece dokuzu iki geçiyor
1265 | 21:03 | three minutes past nine p.m.         | gece dokuzu üç geçiyor
1266 | 21:04 | four minutes past nine p.m.          | gece dokuzu dört geçiyor
1267 | 21:05 | five past nine p.m.                  | gece dokuzu beş geçiyor
1268 | 21:06 | six minutes past nine p.m.           | gece dokuzu altı geçiyor
1269 | 21:07 | seven minutes past nine p.m.         | gece dokuzu yedi geçiyor
1270 | 21:08 | eight minutes past nine p.m.         | gece dokuzu sekiz geçiyor
1271 | 21:09 | nine minutes past nine p.m.          | gece dokuzu dokuz geçiyor
1272 | 21:10 | ten past nine p.m.                   | gece dokuzu on geçiyor
1273 | 21:11 | eleven minutes past nine p.m.        | gece dokuzu on bir geçiyor
1274 | 21:12 | twelve minutes past nine p.m.        | gece dokuzu on iki geçiyor
1275 | 21:13 | thirteen minutes past nine p.m.      | gece dokuzu on üç geçiyor
1276 | 21:14 | fourteen minutes past nine p.m.      | gece dokuzu on dört geçiyor
1277 | 21:15 | a quarter past nine p.m.             | gece dokuzu çeyrek geçiyor
1278 | 21:16 | sixteen minutes past nine p.m.       | gece dokuzu on altı geçiyor
1279 | 21:17 | seventeen minutes past nine p.m.     | gece dokuzu on yedi geçiyor
1280 | 21:18 | eighteen minutes past nine p.m.      | gece dokuzu on sekiz geçiyor
1281 | 21:19 | nineteen minutes past nine p.m.      | gece dokuzu on dokuz geçiyor
1282 | 21:20 | twenty past nine p.m.                | gece dokuzu yirmi geçiyor
1283 | 21:21 | twenty-one minutes past nine p.m.    | gece dokuzu yirmi bir geçiyor
1284 | 21:22 | twenty-two minutes past nine p.m.    | gece dokuzu yirmi iki geçiyor
1285 | 21:23 | twenty-three minutes past nine p.m.  | gece dokuzu yirmi üç geçiyor
1286 | 21:24 | twenty-four minutes past nine p.m.   | gece dokuzu yirmi dört geçiyor
1287 | 21:25 | twenty-five past nine p.m.           | gece dokuzu yirmi beş geçiyor
1288 | 21:26 | twenty-six minutes past nine p.m.    | gece dokuzu yirmi altı geçiyor
1289 | 21:27 | twenty-seven minutes past nine p.m.  | gece dokuzu yirmi yedi geçiyor
1290 | 21:28 | twenty-eight minutes past nine p.m.  | gece dokuzu yirmi sekiz geçiyor
1291 | 21:29 | twenty-nine minutes past nine p.m.   | gece dokuzu yirmi dokuz geçiyor
1292 | 21:30 | half past nine p.m.                  | gece dokuz buçuk
1293 | 21:31 | twenty-nine minutes to ten p.m.      | gece ona yirmi dokuz var
1294 | 21:32 | twenty-eight minutes to ten p.m.     | gece ona yirmi sekiz var
1295 | 21:33 | twenty-seven minutes to ten p.m.     | gece ona yirmi yedi var
1296 | 21:34 | twenty-six minutes to ten p.m.       | gece ona yirmi altı var
1297 | 21:35 | twenty-five to ten p.m.              | gece ona yirmi beş var
1298 | 21:36 | twenty-four minutes to ten p.m.      | gece ona yirmi dört var
1299 | 21:37 | twenty-three minutes to ten p.m.     | gece ona yirmi üç var
1300 | 21:38 | twenty-two minutes to ten p.m.       | gece ona yirmi iki var
1301 | 21:39 | twenty-one minutes to ten p.m.       | gece ona yirmi bir var
1302 | 21:40 | twenty to ten p.m.                   | gece ona yirmi var
1303 | 21:41 | nineteen minutes to ten p.m.         | gece ona on dokuz var
1304 | 21:42 | eighteen minutes to ten p.m.         | gece ona on sekiz var
1305 | 21:43 | seventeen minutes to ten p.m.        | gece ona on yedi var
1306 | 21:44 | sixteen minutes to ten p.m.          | gece ona on altı var
1307 | 21:45 | a quarter to ten p.m.                | gece ona çeyrek var
1308 | 21:46 | fourteen minutes to ten p.m.         | gece ona on dört var
1309 | 21:47 | thirteen minutes to ten p.m.         | gece ona on üç var
1310 | 21:48 | twelve minutes to ten p.m.           | gece ona on iki var
1311 | 21:49 | eleven minutes to ten p.m.           | gece ona on bir var
1312 | 21:50 | ten to ten p.m.                      | gece ona on var
1313 | 21:51 | nine minutes to ten p.m.             | gece ona dokuz var
1314 | 21:52 | eight minutes to ten p.m.            | gece ona sekiz var
1315 | 21:53 | seven minutes to ten p.m.            | gece ona yedi var
1316 | 21:54 | six minutes to ten p.m.              | gece ona altı var
1317 | 21:55 | five to ten p.m.                     | gece ona beş var
1318 | 21:56 | four minutes to ten p.m.             | gece ona dört var
1319 | 21:57 | three minutes to ten p.m.            | gece ona üç var
1320 | 21:58 | two minutes to ten p.m.              | gece ona iki var
1321 | 21:59 | one minute to ten p.m.               | gece ona bir var
1322 | 22:00 | ten o'clock p.m.                     | gece on
1323 | 22:01 | one minute past ten p.m.             | gece onu bir geçiyor
1324 | 22:02 | two minutes past ten p.m.            | gece onu iki geçiyor
1325 | 22:03 | three minutes past ten p.m.          | gece onu üç geçiyor
1326 | 22:04 | four minutes past ten p.m.           | gece onu dört geçiyor
1327 | 22:05 | five past ten p.m.                   | gece onu beş geçiyor
1328 | 22:06 | six minutes past ten p.m.            | gece onu altı geçiyor
1329 | 22:07 | seven minutes past ten p.m.          | gece onu yedi geçiyor
1330 | 22:08 | eight minutes past ten p.m.          | gece onu sekiz geçiyor
1331 | 22:09 | nine minutes past ten p.m.           | gece onu dokuz geçiyor
1332 | 22:10 | ten past ten p.m.                    | gece onu on geçiyor
1333 | 22:11 | eleven minutes past ten p.m.         | gece onu on bir geçiyor
1334 | 22:12 | twelve minutes past ten p.m.         | gece onu on iki geçiyor
1335 | 22:13 | thirteen minutes past ten p.m.       | gece onu on üç geçiyor
1336 | 22:14 | fourteen minutes past ten p.m.       | gece onu on dört geçiyor
1337 | 22:15 | a quarter past ten p.m.              | gece onu çeyrek geçiyor
1338 | 22:16 | sixteen minutes past ten p.m.        | gece onu on altı geçiyor
1339 | 22:17 | seventeen minutes past ten p.m.      | gece onu on yedi geçiyor
1340 | 22:18 | eighteen minutes past ten p.m.       | gece onu on sekiz geçiyor
1341 | 22:19 | nineteen minutes past ten p.m.       | gece onu on dokuz geçiyor
1342 | 22:20 | twenty past ten p.m.                 | gece onu yirmi geçiyor
1343 | 22:21 | twenty-one minutes past ten p.m.     | gece onu yirmi bir geçiyor
1344 | 22:22 | twenty-two minutes past ten p.m.     | gece onu yirmi iki geçiyor
1345 | 22:23 | twenty-three minutes past ten p.m.   | gece onu yirmi üç geçiyor
1346 | 22:24 | twenty-four minutes past ten p.m.    | gece onu yirmi dört geçiyor
1347 | 22:25 | twenty-five past ten p.m.            | gece onu yirmi beş geçiyor
1348 | 22:26 | twenty-six minutes past ten p.m.     | gece onu yirmi altı geçiyor
1349 | 22:27 | twenty-seven minutes past ten p.m.   | gece onu yirmi yedi geçiyor
1350 | 22:28 | twenty-eight minutes past ten p.m.   | gece onu yirmi sekiz geçiyor
1351 | 22:29 | twenty-nine minutes past ten p.m.    | gece onu yirmi dokuz geçiyor
1352 | 22:30 | half past ten p.m.                   | gece on buçuk
1353 | 22:31 | twenty-nine minutes to eleven p.m.   | gece on bire yirmi dokuz var
1354 | 22:32 | twenty-eight minutes to eleven p.m.  | gece on bire yirmi sekiz var
1355 | 22:33 | twenty-seven minutes to eleven p.m.  | gece on bire yirmi yedi var
1356 | 22:34 | twenty-six minutes to eleven p.m.    | gece on bire yirmi altı var
1357 | 22:35 | twenty-five to eleven p.m.           | gece on bire yirmi beş var
1358 | 22:36 | twenty-four minutes to eleven p.m.   | gece on bire yirmi dört var
1359 | 22:37 | twenty-three minutes to eleven p.m.  | gece on bire yirmi üç var
1360 | 22:38 | twenty-two minutes to eleven p.m.    | gece on bire yirmi iki var
1361 | 22:39 | twenty-one minutes to eleven p.m.    | gece on bire yirmi bir var
1362 | 22:40 | twenty to eleven p.m.                | gece on bire yirmi var
1363 | 22:41 | nineteen minutes to eleven p.m.      | gece on bire on dokuz var
1364 | 22:42 | eighteen minutes to eleven p.m.      | gece on bire on sekiz var
1365 | 22:43 | seventeen minutes to eleven p.m.     | gece on bire on yedi var
1366 | 22:44 | sixteen minutes to eleven p.m.       | gece on bire on altı var
1367 | 22:45 | a quarter to eleven p.m.             | gece on bire çeyrek var
1368 | 22:46 | fourteen minutes to eleven p.m.      | gece on bire on dört var
1369 | 22:47 | thirteen minutes to eleven p.m.      | gece on bire on üç var
1370 | 22:48 | twelve minutes to eleven p.m.        | gece on bire on iki var
1371 | 22:49 | eleven minutes to eleven p.m.        | gece on bire on bir var
1372 | 22:50 | ten to eleven p.m.                   | gece on bire on var
1373 | 22:51 | nine minutes to eleven p.m.          | gece on bire dokuz var
1374 | 22:52 | eight minutes to eleven p.m.         | gece on bire sekiz var
1375 | 22:53 | seven minutes to eleven p.m.         | gece on bire yedi var
1376 | 22:54 | six minutes to eleven p.m.           | gece on bire altı var
1377 | 22:55 | five to eleven p.m.                  | gece on bire beş var
1378 | 22:56 | four minutes to eleven p.m.          | gece on bire dört var
1379 | 22:57 | three minutes to eleven p.m.         | gece on bire üç var
1380 | 22:58 | two minutes to eleven p.m.           | gece on bire iki var
1381 | 22:59 | one minute to eleven p.m.            | gece on bire bir var
1382 | 23:00 | eleven o'clock p.m.                  | gece on bir
1383 | 23:01 | one minute past eleven p.m.          | gece on biri bir geçiyor
1384 | 23:02 | two minutes past eleven p.m.         | gece on biri iki geçiyor
1385 | 23:03 | three minutes past eleven p.m.       | gece on biri üç geçiyor
1386 | 23:04 | four minutes past eleven p.m.        | gece on biri dört geçiyor
1387 | 23:05 | five past eleven p.m.                | gece on biri beş geçiyor
1388 | 23:06 | six minutes past eleven p.m.         | gece on biri altı geçiyor
1389 | 23:07 | seven minutes past eleven p.m.       | gece on biri yedi geçiyor
1390 | 23:08 | eight minutes past eleven p.m.       | gece on biri sekiz geçiyor
1391 | 23:09 | nine minutes past eleven p.m.        | gece on biri dokuz geçiyor
1392 | 23:10 | ten past eleven p.m.                 | gece on biri on geçiyor
1393 | 23:11 | eleven minutes past eleven p.m.      | gece on biri on bir geçiyor
1394 | 23:12 | twelve minutes past eleven p.m.      | gece on biri on iki geçiyor
1395 | 23:13 | thirteen minutes past eleven p.m.    | gece on biri on üç geçiyor
1396 | 23:14 | fourteen minutes past eleven p.m.    | gece on biri on dört geçiyor
1397 | 23:15 | a quarter past eleven p.m.           | gece on biri çeyrek geçiyor
1398 | 23:16 | sixteen minutes past eleven p.m.     | gece on biri on altı geçiyor
1399 | 23:17 | seventeen minutes past eleven p.m.   | gece on biri on yedi geçiyor
1400 | 23:18 | eighteen minutes past eleven p.m.    | gece on biri on sekiz geçiyor
1401 | 23:19 | nineteen minutes past eleven p.m.    | gece on biri on dokuz geçiyor
1402 | 23:20 | twenty past eleven p.m.              | gece on biri yirmi geçiyor
1403 | 23:21 | twenty-one minutes past eleven p.m.  | gece on biri yirmi bir geçiyor
1404 | 23:22 | twenty-two minutes past eleven p.m.  | gece on biri yirmi iki geçiyor
1405 | 23:23 | twenty-three minutes past eleven p.m. | gece on biri yirmi üç geçiyor
1406 | 23:24 | twenty-four minutes past eleven p.m. | gece on biri yirmi dört geçiyor
1407 | 23:25 | twenty-five past eleven p.m.         | gece on biri yirmi beş geçiyor
1408 | 23:26 | twenty-six minutes past eleven p.m.  | gece on biri yirmi altı geçiyor
1409 | 23:27 | twenty-seven minutes past eleven p.m. | gece on biri yirmi yedi geçiyor
1410 | 23:28 | twenty-eight minutes past eleven p.m. | gece on biri yirmi sekiz geçiyor
1411 | 23:29 | twenty-nine minutes past eleven p.m. | gece on biri yirmi dokuz geçiyor
1412 | 23:30 | half past eleven p.m.                | gece on bir buçuk
1413 | 23:31 | twenty-nine minutes to twelve p.m.   | gece on ikiye yirmi dokuz var
1414 | 23:32 | twenty-eight minutes to twelve p.m.  | gece on ikiye yirmi sekiz var
1415 | 23:33 | twenty-seven minutes to twelve p.m.  | gece on ikiye yirmi yedi var
1416 | 23:34 | twenty-six minutes to twelve p.m.    | gece on ikiye yirmi altı var
1417 | 23:35 | twenty-five to twelve p.m.           | gece on ikiye yirmi beş var
1418 | 23:36 | twenty-four minutes to twelve p.m.   | gece on ikiye yirmi dört var
1419 | 23:37 | twenty-three minutes to twelve p.m.  | gece on ikiye yirmi üç var
1420 | 23:38 | twenty-two minutes to twelve p.m.    | gece on ikiye yirmi iki var
1421 | 23:39 | twenty-one minutes to twelve p.m.    | gece on ikiye yirmi bir var
1422 | 23:40 | twenty to twelve p.m.                | gece on ikiye yirmi var
1423 | 23:41 | nineteen minutes to twelve p.m.      | gece on ikiye on dokuz var
1424 | 23:42 | eighteen minutes to twelve p.m.      | gece on ikiye on sekiz var
1425 | 23:43 | seventeen minutes to twelve p.m.     | gece on ikiye on yedi var
1426 | 23:44 | sixteen minutes to twelve p.m.       | gece on ikiye on altı var
1427 | 23:45 | a quarter to twelve p.m.             | gece on ikiye çeyrek var
1428 | 23:46 | fourteen minutes to twelve p.m.      | gece on ikiye on dört var
1429 | 23:47 | thirteen minutes to twelve p.m.      | gece on ikiye on üç var
1430 | 23:48 | twelve minutes to twelve p.m.        | gece on ikiye on iki var
1431 | 23:49 | eleven minutes to twelve p.m.        | gece on ikiye on bir var
1432 | 23:50 | ten to twelve p.m.                   | gece on ikiye on var
1433 | 23:51 | nine minutes to twelve p.m.          | gece on ikiye dokuz var
1434 | 23:52 | eight minutes to twelve p.m.         | gece on ikiye sekiz var
1435 | 23:53 | seven minutes to twelve p.m.         | gece on ikiye yedi var
1436 | 23:54 | six minutes to twelve p.m.           | gece on ikiye altı var
1437 | 23:55 | five to twelve p.m.                  | gece on ikiye beş var
1438 | 23:56 | four minutes to twelve p.m.          | gece on ikiye dört var
1439 | 23:57 | three minutes to twelve p.m.         | gece on ikiye üç var
1440 | 23:58 | two minutes to twelve p.m.           | gece on ikiye iki var
